code_insee,departement,loyer_moyen,nom,code_postal,population,note
01004,1,10.07,Ambérieu-en-Bugey,01500,14134,3.5
01007,1,9.04,Ambronay,01500,2800,3.2
01014,1,9.66,Arbent,01100,3349,2.2
01024,1,9.47,Attignat,01340,3251,3.8
01030,1,9.1,Beauregard,01480,829,2.8
01031,1,8.4,Bellignat,01100,3652,4.6
01032,1,12.09,Béligneux,01360,3376,3.5
01033,1,11.85,Valserhône,01200,16378,2.2
01034,1,9.69,Belley,01300,9182,3.0
01043,1,12.17,Beynost,01700,4754,3.0
01049,1,11.66,La Boisse,01120,3283,3.6
01053,1,9.8,Bourg-en-Bresse,01000,41111,3.5
01071,1,18.97,Cessy,01170,4808,4.0
01072,1,8.8,Ceyzériat,01250,3194,4.4
01074,1,9.58,Chalamont,01320,2589,3.8
01078,1,19.62,Challex,01630,1557,3.6
01093,1,9.7,Châtillon-sur-Chalaronne,01400,4931,4.0
01103,1,17.59,Chevry,01170,2149,1.6
01108,1,7.68,Coligny,01270,1176,2.6
01109,1,16.53,Collonges,01550,2226,
01135,1,17.38,Crozet,01170,2171,
01138,1,9.79,Culoz,01350,3004,4.1
01142,1,12.35,Dagneux,01120,4777,3.6
01143,1,22.03,Divonne-les-Bains,01220,9951,3.7
01153,1,19.33,Échenevex,01170,2115,3.8
01159,1,8.89,Feillens,01570,3365,4.1
01160,1,20.66,Ferney-Voltaire,01210,10026,3.2
01173,1,17.89,Gex,01170,13121,4.0
01185,1,8.0,Plateau d'Hauteville,01110,4844,
01194,1,10.98,Jassans-Riottier,01480,6346,3.8
01199,1,8.23,Jujurieux,01640,2137,2.3
01202,1,9.94,Lagnieu,01150,7161,3.8
01224,1,10.59,Loyettes,01360,3225,2.4
01244,1,11.11,Meximieux,01800,7923,4.0
01246,1,8.32,Mézériat,01660,2217,4.6
01249,1,11.84,Miribel,01700,10122,3.2
01262,1,11.49,Montluel,01120,6886,4.0
01263,1,9.65,Montmerle-sur-Saône,01090,3772,4.0
01265,1,8.97,Montréal-la-Cluse,01460,3456,4.2
01269,1,7.86,Nantua,01130,3454,3.6
01272,1,8.46,Neuville-les-Dames,01400,1500,
01275,1,11.93,Neyron,01700,2569,1.6
01281,1,20.69,Ornex,01210,4483,3.3
01283,1,9.23,Oyonnax,01100,22456,2.7
01288,1,17.33,Péron,01630,2717,3.8
01289,1,10.2,Péronnas,01960,6520,3.4
01301,1,8.85,Polliat,01310,2547,3.8
01303,1,8.28,Poncin,01450,1699,
01304,1,8.62,Pont-d'Ain,01160,2924,
01305,1,7.92,Pont-de-Vaux,01190,2213,4.2
01306,1,8.45,Pont-de-Veyle,01290,1641,3.1
01313,1,21.7,Prévessin-Moëns,01280,8711,4.2
01333,1,12.32,Saint-André-de-Corcy,01390,3369,3.6
01344,1,10.18,Saint-Denis-lès-Bourg,01000,5943,4.2
01345,1,9.34,Saint-Denis-en-Bugey,01500,2266,
01348,1,9.0,Saint-Didier-sur-Chalaronne,01140,2938,4.2
01350,1,8.82,Saint-Étienne-du-Bois,01370,2542,4.4
01354,1,18.8,Saint-Genis-Pouilly,01630,13943,2.9
01360,1,17.98,Saint-Jean-de-Gonville,01630,1895,4.1
01370,1,8.14,Saint-Laurent-sur-Saône,01750,1688,2.4
01376,1,11.54,Saint-Maurice-de-Beynost,01700,3962,3.4
01384,1,7.0,Saint-Rambert-en-Bugey,01230,2188,4.6
01389,1,9.24,Saint-Trivier-sur-Moignans,01990,1834,
01399,1,20.21,Ségny,01170,2107,2.4
01401,1,19.68,Sergy,01630,2167,3.2
01407,1,10.77,Seyssel,01420,1002,
01416,1,6.56,Tenay,01230,1014,
01419,1,19.2,Thoiry,01710,6021,4.0
01420,1,8.87,Thoissey,01140,1690,2.7
01427,1,10.08,Trévoux,01600,6920,3.6
01443,1,10.91,Villars-les-Dombes,01330,4978,4.0
01451,1,9.86,Viriat,01440,6595,3.1
01452,1,8.57,Virieu-le-Grand,01510,1132,
01457,1,9.17,Vonnas,01540,3181,3.7
02095,2,7.48,Bohain-en-Vermandois,02110,5686,2.4
02110,2,8.79,Braine,02220,2235,4.3
02163,2,10.14,Charly-sur-Marne,02310,2585,
02168,2,10.62,Château-Thierry,02400,15254,3.4
02173,2,8.79,Chauny,02300,11653,3.9
02304,2,7.87,La Fère,02800,2838,
02305,2,8.62,Fère-en-Tardenois,02130,3001,
02307,2,10.91,La Ferté-Milon,02460,2060,4.0
02361,2,7.75,Guise,02120,4645,3.7
02381,2,7.47,Hirson,02500,8710,2.3
02408,2,8.78,Laon,02000,24304,3.0
02555,2,10.74,Nogent-l'Artaud,02310,2108,2.9
02558,2,8.31,Le Nouvion-en-Thiérache,02170,2557,
02691,2,9.46,Saint-Quentin,02100,53570,3.1
02722,2,10.15,Soissons,02200,28712,3.3
02738,2,8.39,Tergnier,02700,13588,2.9
02810,2,10.85,Villers-Cotterêts,02600,10424,3.2
03013,3,7.99,Avermes,03000,3953,3.6
03036,3,7.21,Bourbon-l'Archambault,03160,2572,
03095,3,9.24,Cusset,03300,12474,3.8
03098,3,7.71,Désertines,03630,4459,4.4
03101,3,7.97,Domérat,03410,8729,3.8
03118,3,7.7,Gannat,03800,5830,3.6
03138,3,6.79,Lapalisse,03120,3144,
03185,3,8.18,Montluçon,03100,34361,3.0
03190,3,8.85,Moulins,03000,19246,3.2
03254,3,8.46,Saint-Pourçain-sur-Sioule,03500,5221,4.0
03275,3,7.17,Souvigny,03210,1747,
03298,3,7.96,Varennes-sur-Allier,03150,3618,2.4
03310,3,8.83,Vichy,03200,24980,3.6
03321,3,9.32,Yzeure,03400,12838,3.4
04006,4,9.87,Allos,04260,824,
04019,4,9.97,Barcelonnette,04400,2564,4.1
04049,4,9.73,Château-Arnoux-Saint-Auban,04160,5089,2.3
04070,4,9.95,Digne-les-Bains,04000,16482,3.5
04079,4,9.99,L'Escale,04160,1371,3.6
04088,4,10.74,Forcalquier,04300,5121,3.3
04094,4,11.85,Gréoux-les-Bains,04800,2639,3.5
04108,4,9.11,Malijai,04350,1975,3.0
04111,4,10.41,Mane,04300,1347,2.6
04112,4,11.17,Manosque,04100,22528,2.8
04116,4,9.23,Les Mées,04190,3751,2.6
04143,4,10.66,Oraison,04700,5867,2.2
04145,4,9.35,Peipin,04200,1448,
04149,4,9.4,Peyruis,04310,2813,1.8
04152,4,11.44,Pierrevert,04860,3905,
04160,4,10.06,Reillanne,04110,1680,4.0
04166,4,9.2,Riez,04500,1726,
04197,4,10.44,Sainte-Tulle,04220,3442,2.8
04209,4,9.5,Sisteron,04200,7595,3.1
04230,4,9.93,Valensole,04210,3173,3.3
04244,4,8.74,Volonne,04290,1641,3.6
04245,4,11.03,Volx,04130,3206,
05004,5,9.98,Ancelle,05260,917,
05006,5,9.98,L'Argentière-la-Bessée,05120,2255,2.4
05023,5,11.13,Briançon,05100,11339,3.0
05040,5,9.91,Chorges,05230,3061,4.2
05046,5,10.39,Embrun,05200,6335,4.3
05061,5,10.21,Gap,05000,40631,3.3
05065,5,9.9,Guillestre,05600,2312,4.4
05079,5,11.11,Le Monêtier-les-Bains,05220,1060,
05098,5,9.6,Les Orres,05200,543,
05110,5,9.03,Puy-Saint-Vincent,05290,301,
05119,5,9.99,Risoul,05600,655,
05132,5,9.09,Saint-Bonnet-en-Champsaur,05500,2063,4.1
05133,5,10.87,Saint-Chaffrey,05330,1531,
05151,5,10.15,Saint-Martin-de-Queyrières,05120,1128,
05161,5,12.5,La Salle-les-Alpes,05240,935,
05162,5,9.35,La Saulce,05110,1443,
05164,5,10.36,Savines-le-Lac,05160,1076,3.8
05170,5,9.0,Tallard,05130,2285,3.5
05174,5,9.89,Val-des-Prés,05100,615,
05177,5,10.91,Vars,05560,528,
05179,5,8.35,Veynes,05400,3216,3.4
05183,5,11.56,Villar-Saint-Pancrace,05100,1477,
06004,6,17.26,Antibes,06160,73438,3.5
06007,6,15.98,Auribeau-sur-Siagne,06810,3200,3.2
06010,6,13.58,Le Bar-sur-Loup,06620,2921,
06011,6,21.02,Beaulieu-sur-Mer,06310,3755,3.9
06012,6,25.3,Beausoleil,06240,13358,0.0
06018,6,17.87,Biot,06410,9668,3.9
06025,6,13.09,Le Broc,06510,1414,
06027,6,16.77,Cagnes-sur-Mer,06800,52178,3.4
06029,6,17.51,Cannes,06150,74545,3.6
06030,6,16.27,Le Cannet,06110,41887,3.7
06032,6,28.29,Cap-d'Ail,06320,4523,4.4
06033,6,15.7,Carros,06510,12550,3.0
06038,6,15.68,Châteauneuf-Grasse,06740,3664,2.8
06044,6,15.81,La Colle-sur-Loup,06480,7898,4.3
06046,6,16.32,Colomars,06670,3482,0.5
06048,6,14.0,Contes,06390,7437,3.4
06054,6,14.54,Drap,06340,5117,2.8
06057,6,12.27,L'Escarène,06440,2554,
06059,6,22.06,Èze,06360,2256,
06064,6,15.74,Gattières,06510,4173,3.3
06065,6,15.61,La Gaude,06610,7010,3.9
06069,6,13.74,Grasse,06130,48870,3.0
06073,6,15.26,Isola,06420,653,
06075,6,12.86,Levens,06670,4761,3.8
06077,6,11.72,Lucéram,06440,1294,2.6
06079,6,16.73,Mandelieu-la-Napoule,06210,21998,4.0
06083,6,17.46,Menton,06500,30525,3.0
06084,6,15.93,Mouans-Sartoux,06370,9887,3.3
06085,6,16.67,Mougins,06250,19982,4.2
06088,6,16.49,Nice,06000,342669,3.4
06090,6,15.61,Pégomas,06580,7996,3.4
06095,6,14.58,Peymeinade,06530,8192,3.1
06099,6,11.03,Puget-Théniers,06260,1840,
06104,6,21.8,Roquebrune-Cap-Martin,06190,12839,3.7
06105,6,17.26,Roquefort-les-Pins,06330,7183,3.1
06108,6,15.78,La Roquette-sur-Siagne,06550,5385,4.0
06112,6,16.1,Le Rouret,06650,4072,3.9
06114,6,15.85,Saint-André-de-la-Roche,06730,5695,3.6
06118,6,13.17,Saint-Cézaire-sur-Siagne,06530,3903,3.2
06122,6,15.09,Saint-Jeannet,06640,4246,4.5
06123,6,16.78,Saint-Laurent-du-Var,06700,29169,3.6
06126,6,14.86,Saint-Martin-du-Var,06670,3095,4.3
06128,6,16.95,Saint-Paul-de-Vence,06570,3252,3.3
06130,6,13.83,Saint-Vallier-de-Thiey,06460,3654,4.2
06136,6,13.32,Sospel,06380,3805,3.6
06138,6,17.27,Théoule-sur-Mer,06590,1362,3.1
06147,6,13.8,Tourrette-Levens,06690,5013,4.3
06148,6,13.84,Tourrettes-sur-Loup,06140,4041,3.6
06149,6,15.91,La Trinité,06340,10115,4.1
06150,6,20.45,La Turbie,06320,2981,4.1
06152,6,17.38,Valbonne,06560,13486,4.5
06155,6,15.41,Vallauris,06220,27364,3.2
06157,6,15.51,Vence,06140,18940,3.3
06159,6,21.05,Villefranche-sur-Mer,06230,5033,3.0
06161,6,17.81,Villeneuve-Loubet,06270,16285,3.7
07009,7,7.94,Andance,07340,1205,
07010,7,7.45,Annonay,07100,16297,2.8
07019,7,8.89,Aubenas,07200,12479,3.6
07041,7,7.98,Boulieu-lès-Annonay,07100,2376,
07042,7,9.25,Bourg-Saint-Andéol,07700,7187,3.1
07055,7,9.96,Charmes-sur-Rhône,07800,2979,3.3
07066,7,8.19,Chomérac,07210,3015,1.5
07076,7,7.01,Cruas,07350,3063,3.8
07078,7,10.1,Davézieux,07430,3168,3.7
07090,7,8.0,Flaviac,07000,1224,2.8
07102,7,10.67,Guilherand-Granges,07500,10756,4.4
07110,7,8.85,Joyeuse,07260,1752,3.0
07116,7,8.23,Labégude,07200,1358,
07132,7,7.62,Largentière,07110,1587,3.9
07157,7,8.02,Meysse,07400,1345,4.1
07181,7,9.0,Le Pouzin,07250,2879,
07186,7,8.63,Privas,07000,8465,3.5
07191,7,8.73,Rochemaure,07400,2292,3.8
07201,7,9.09,Ruoms,07120,2276,3.6
07231,7,9.09,Saint-Étienne-de-Fontbellon,07200,2833,3.2
07264,7,8.99,Saint-Marcel-d'Ardèche,07700,2380,
07281,7,10.18,Saint-Péray,07130,7580,4.1
07308,7,7.67,Sarras,07370,2228,3.8
07313,7,8.72,Serrières,07340,1137,4.2
07316,7,10.71,Soyons,07130,2284,3.8
07319,7,8.75,Le Teil,07400,8832,3.1
07324,7,9.37,Tournon-sur-Rhône,07300,10622,3.7
07325,7,8.89,Ucel,07200,2062,3.4
07330,7,8.68,Vallon-Pont-d'Arc,07150,2412,3.7
07331,7,8.5,Vals-les-Bains,07600,3530,4.0
07334,7,8.07,Les Vans,07140,2655,3.8
07341,7,8.22,Villeneuve-de-Berg,07170,3001,3.9
07346,7,9.03,Viviers,07220,3689,3.4
07349,7,8.94,La Voulte-sur-Rhône,07800,4848,3.5
08053,8,8.43,Bazeilles,08140,2423,
08081,8,7.18,Bogny-sur-Meuse,08120,5018,3.0
08105,8,9.02,Charleville-Mézières,08000,46436,3.1
08190,8,8.09,Givet,08600,6476,2.7
08328,8,7.23,Nouzonville,08700,5689,2.8
08362,8,8.82,Rethel,08300,7467,3.4
08363,8,7.3,Revin,08500,5836,3.3
08409,8,8.13,Sedan,08200,16092,3.2
08480,8,8.53,Villers-Semeuse,08000,3568,3.2
08490,8,8.26,Vouziers,08400,4320,
